GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2019/11/02-23:38:17:40,3,4.0,40.47392,-104.96938999999999,1477.6,1.6050666666666669,176.16,Data Log,True
2019/11/02-23:38:18:40,3,4.0,40.47405833333333,-104.96934000000002,1477.6,0.6327666666666667,188.69,,
2019/11/02-23:38:19:40,3,4.0,40.474039999999995,-104.96945499999998,1477.6,0.13890000000000002,285.38,,
2019/11/02-23:38:20:40,3,4.0,40.47401333333333,-104.96941833333334,1477.6,1.0546111111111112,161.98,,
2019/11/02-23:38:21:40,3,4.0,40.473863333333334,-104.96938333333334,1477.6,0.42184444444444447,197.54,,
2019/11/02-23:38:22:40,3,4.0,40.47389166666667,-104.96946333333332,1477.6,0.18005555555555555,45.58,RP,
2019/11/02-23:38:23:40,3,4.0,40.47409833333334,-104.96940166666667,1477.6,0.5761777777777779,40.82,,
2019/11/02-23:38:24:40,3,4.0,40.47394666666666,-104.969375,1477.6,0.30352222222222225,297.83,,
2019/11/02-23:38:25:40,3,4.0,40.473976666666665,-104.96935,1477.6,0.7305111111111111,208.91,,
2019/11/02-23:38:26:40,3,4.0,40.473985,-104.96940833333335,1477.6,0.21092222222222223,162.6,,
2019/11/02-23:38:27:40,3,4.0,40.47402,-104.96939833333333,1477.6,0.43213333333333337,249.38,,
2019/11/02-23:38:28:40,3,4.0,40.473965,-104.96936833333332,1477.6,0.26751111111111114,165.32,,
2019/11/02-23:38:29:40,3,4.0,40.473910000000004,-104.96942333333332,1477.6,0.1954888888888889,47.07,,
2019/11/02-23:38:30:40,3,4.0,40.47399666666667,-104.96938999999999,1477.6,1.1883666666666668,12.12,,
2019/11/02-23:38:31:40,3,4.0,40.474035,-104.96940166666667,1477.6,0.4012666666666667,166.23,LC,1
2019/11/02-23:38:32:40,3,4.0,40.47408666666667,-104.96942166666668,1477.6,0.4938666666666667,40.66,,
2019/11/02-23:38:33:40,4,4.0,40.47392333333333,-104.96944,1487.9,0.08231111111111111,33.61,,
2019/11/02-23:38:34:40,4,4.2,40.47399333333333,-104.96943000000002,1502.1,0.40641111111111117,206.46,,
2019/11/02-23:38:35:00,4,2.7,40.47392833333333,-104.96932833333334,1487.4,0.31381111111111115,206.46,,
2019/11/02-23:38:36:00,4,2.7,40.473949999999995,-104.96936333333333,1509.6,0.36525555555555556,206.46,,
2019/11/02-23:38:37:00,4,2.7,40.473935,-104.96929333333334,1511.7,0.14404444444444447,206.46,,
2019/11/02-23:38:38:00,4,2.7,40.473965,-104.96930833333333,1522.2,0.3601111111111111,206.46,,
2019/11/02-23:38:36:00,4,2.7,40.47393666666667,-104.96926833333333,1523.1,0.3343888888888889,206.46,,
2019/11/02-23:38:37:00,4,2.7,40.47393833333333,-104.96926,1522.2,0.6121888888888889,184.0,,
2019/11/02-23:38:38:00,4,2.7,40.47393833333333,-104.96926,1521.6,0.010288888888888889,184.0,,
2019/11/02-23:38:39:00,4,2.7,40.47393833333333,-104.96926166666665,1520.8,0.0,184.0,,
2019/11/02-23:38:40:00,4,2.7,40.47393833333333,-104.969265,1520.0,0.0,184.0,WP,True
2019/11/02-23:38:41:00,4,2.7,40.47393833333333,-104.96926666666668,1519.4,0.0,184.0,,
2019/11/02-23:38:42:00,4,2.7,40.47393833333333,-104.96926833333333,1518.8,0.0,184.0,,
2019/11/02-23:38:43:00,4,2.7,40.47393833333333,-104.96927,1518.3,0.0,184.0,,
2019/11/02-23:38:44:00,4,2.7,40.47393833333333,-104.96927166666667,1517.0,0.0,184.0,,
2019/11/02-23:38:45:00,4,2.7,40.47394666666666,-104.96926833333333,1515.5,0.09774444444444445,184.0,,
2019/11/02-23:38:46:00,4,2.7,40.47396166666667,-104.96927499999998,1517.0,0.6070444444444445,82.28,WP,False
2019/11/02-23:38:47:00,4,2.7,40.473958333333336,-104.96927166666667,1516.7,0.3704,82.28,,
2019/11/02-23:38:48:00,4,2.7,40.473960000000005,-104.96927333333333,1524.5,0.0051444444444444445,82.28,,
2019/11/02-23:38:49:00,4,2.7,40.473955000000004,-104.96925666666667,1529.5,0.31381111111111115,82.28,,
2019/11/02-23:38:50:00,4,2.7,40.47394833333333,-104.96924833333333,1528.6,0.2983777777777778,82.28,LO,1
2019/11/02-23:38:51:00,4,2.7,40.473931666666665,-104.96924666666668,1528.2,0.4732888888888889,82.28,,
2019/11/02-23:38:52:00,4,2.7,40.473931666666665,-104.96924833333333,1527.3,0.010288888888888889,82.28,,
2019/11/02-23:38:57:00,4,2.7,40.47393,-104.96925833333334,1525.9,0.4115555555555556,82.28,App Ended,
