GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/02/01-20:55:10:40,10,1.03,40.47386866666667,-104.96949283333333,1520.4,0.0051444444444444445,0.0,Data Log,True
2020/02/01-20:55:10:50,10,1.03,40.47386866666667,-104.96949283333333,1520.4,0.0051444444444444445,0.0,,
2020/02/01-20:55:10:60,10,1.03,40.47386866666667,-104.96949266666667,1520.4,0.014404444444444445,0.0,,
2020/02/01-20:55:10:70,10,1.03,40.4738685,-104.96949266666667,1520.4,0.040641111111111114,0.0,,
2020/02/01-20:55:10:80,10,1.03,40.4738685,-104.96949250000002,1520.4,0.024693333333333334,0.0,,
2020/02/01-20:55:10:90,10,1.03,40.4738685,-104.96949250000002,1520.4,0.0051444444444444445,0.0,,
2020/02/01-20:55:11:00,10,1.03,40.4738685,-104.96949216666665,1520.4,0.06996444444444445,0.0,,
2020/02/01-20:55:11:10,10,1.03,40.4738685,-104.96949216666665,1520.4,0.03909777777777778,0.0,,
2020/02/01-20:55:11:20,10,1.03,40.4738685,-104.96949199999999,1520.4,0.04218444444444445,0.0,,
2020/02/01-20:55:11:30,10,1.03,40.4738685,-104.96949183333332,1520.4,0.03601111111111112,0.0,,
2020/02/01-20:55:11:40,10,1.03,40.473868333333336,-104.96949183333332,1520.4,0.021092222222222224,0.0,,
2020/02/01-20:55:11:50,10,1.03,40.473868333333336,-104.96949183333332,1520.4,0.03961222222222222,0.0,,
2020/02/01-20:55:11:60,10,1.03,40.473868333333336,-104.96949166666667,1520.4,0.029323333333333337,0.0,,
2020/02/01-20:55:11:70,10,1.03,40.473868333333336,-104.9694915,1520.4,0.041670000000000006,0.0,,
2020/02/01-20:55:11:80,10,1.03,40.473868333333336,-104.9694915,1520.4,0.006173333333333334,0.0,,
2020/02/01-20:55:11:90,10,1.03,40.473868333333336,-104.96949133333334,1520.4,0.028294444444444445,0.0,,
2020/02/01-20:55:12:00,10,1.03,40.473868333333336,-104.96949116666669,1520.4,0.04681444444444444,0.0,,
2020/02/01-20:55:12:10,10,1.03,40.473868333333336,-104.96949116666669,1520.4,0.009774444444444445,0.0,,
2020/02/01-20:55:12:20,10,1.03,40.473868333333336,-104.96949099999999,1520.4,0.016462222222222225,0.0,,
2020/02/01-20:55:12:30,10,1.03,40.47386816666666,-104.96949099999999,1520.4,0.03035222222222222,0.0,,
2020/02/01-20:55:12:40,10,1.03,40.473868333333336,-104.96949083333332,1520.4,0.03138111111111111,0.0,,
2020/02/01-20:55:12:50,10,1.03,40.473868333333336,-104.96949083333332,1520.4,0.02520777777777778,0.0,,
2020/02/01-20:55:12:60,10,1.03,40.47386816666666,-104.96949066666666,1520.4,0.03292444444444445,0.0,,
2020/02/01-20:55:12:70,10,1.03,40.473868333333336,-104.96949066666666,1520.4,0.016462222222222225,0.0,,
2020/02/01-20:55:12:80,10,1.03,40.47386816666666,-104.96949066666666,1520.4,0.03138111111111111,0.0,,
2020/02/01-20:55:12:90,10,1.03,40.47386816666666,-104.96949066666666,1520.4,0.015433333333333334,0.0,,
2020/02/01-20:55:13:00,10,1.03,40.47386816666666,-104.96949049999999,1520.4,0.01800555555555556,0.0,,
2020/02/01-20:55:13:10,10,1.03,40.473868333333336,-104.96949049999999,1520.5,0.020577777777777778,0.0,,
2020/02/01-20:55:13:20,10,1.03,40.473868333333336,-104.96949033333334,1520.5,0.0463,0.0,,
2020/02/01-20:55:13:30,10,1.03,40.473868333333336,-104.96949016666667,1520.5,0.022121111111111112,0.0,,
2020/02/01-20:55:13:40,10,1.03,40.473868333333336,-104.96949016666667,1520.5,0.02675111111111111,0.0,,
2020/02/01-20:55:13:50,10,1.03,40.473868333333336,-104.96949000000001,1520.5,0.016462222222222225,0.0,,
2020/02/01-20:55:13:60,10,1.03,40.473868333333336,-104.96949000000001,1520.5,0.04938666666666667,0.0,,
2020/02/01-20:55:13:70,10,1.03,40.473868333333336,-104.96949000000001,1520.5,0.040641111111111114,0.0,,
2020/02/01-20:55:13:80,10,1.03,40.473868333333336,-104.96949000000001,1520.5,0.04475666666666667,0.0,,
2020/02/01-20:55:13:90,10,1.03,40.4738685,-104.96949000000001,1520.5,0.022635555555555555,0.0,,
2020/02/01-20:55:14:00,10,1.03,40.4738685,-104.96948983333331,1520.5,0.010803333333333335,0.0,,
2020/02/01-20:55:14:10,10,1.03,40.4738685,-104.96948983333331,1520.6,0.01800555555555556,0.0,,
2020/02/01-20:55:14:20,10,1.03,40.4738685,-104.96948983333331,1520.6,0.048357777777777784,0.0,,
2020/02/01-20:55:14:30,10,1.03,40.4738685,-104.96948983333331,1520.6,0.009774444444444445,0.0,,
2020/02/01-20:55:14:40,10,1.03,40.4738685,-104.96948983333331,1520.6,0.011317777777777777,0.0,,
2020/02/01-20:55:14:50,10,1.03,40.47386866666667,-104.96948966666666,1520.6,0.041670000000000006,0.0,,
2020/02/01-20:55:14:60,10,1.03,40.47386866666667,-104.96948966666666,1520.6,0.020577777777777778,0.0,,
2020/02/01-20:55:14:70,10,1.03,40.4738685,-104.96948966666666,1520.6,0.012346666666666667,0.0,,
2020/02/01-20:55:14:80,10,1.03,40.47386866666667,-104.96948966666666,1520.7,0.04012666666666667,0.0,,
2020/02/01-20:55:14:90,10,1.03,40.47386866666667,-104.96948966666666,1520.7,0.02520777777777778,0.0,,
2020/02/01-20:55:15:00,10,1.03,40.47386866666667,-104.96948966666666,1520.7,0.010288888888888889,0.0,,
2020/02/01-20:55:15:10,10,1.03,40.473868833333334,-104.9694895,1520.7,0.04012666666666667,0.0,,
2020/02/01-20:55:15:20,10,1.03,40.473868833333334,-104.9694895,1520.7,0.0051444444444444445,0.0,,
2020/02/01-20:55:15:30,10,1.03,40.473868833333334,-104.96948933333333,1520.7,0.05041555555555556,0.0,,
2020/02/01-20:55:15:40,10,1.03,40.473868833333334,-104.96948933333333,1520.7,0.006173333333333334,0.0,,
2020/02/01-20:55:15:50,10,1.03,40.473868833333334,-104.96948916666666,1520.8,0.02880888888888889,0.0,,
2020/02/01-20:55:15:60,10,1.03,40.473868833333334,-104.96948916666666,1520.8,0.03035222222222222,0.0,,
2020/02/01-20:55:15:70,10,1.03,40.473868833333334,-104.96948933333333,1520.8,0.08591222222222224,0.0,,
2020/02/01-20:55:15:80,10,1.03,40.473868833333334,-104.96948900000001,1520.8,0.06533444444444444,0.0,,
2020/02/01-20:55:15:90,10,1.03,40.473868833333334,-104.96948900000001,1520.8,0.044242222222222224,0.0,,
2020/02/01-20:55:16:00,10,1.03,40.473869,-104.96948883333334,1520.8,0.05710333333333334,0.0,,
2020/02/01-20:55:16:10,10,1.03,40.473869,-104.96948866666668,1520.8,0.062247777777777784,0.0,,
2020/02/01-20:55:16:20,10,1.03,40.473869,-104.96948883333334,1520.8,0.00926,0.0,,
2020/02/01-20:55:16:30,10,1.03,40.473869,-104.96948866666668,1520.8,0.025722222222222226,0.0,,
2020/02/01-20:55:16:40,10,1.03,40.473869,-104.96948866666668,1520.9,0.014918888888888891,0.0,,
2020/02/01-20:55:16:50,10,1.03,40.473868833333334,-104.96948866666668,1520.9,0.011832222222222223,0.0,,
2020/02/01-20:55:16:60,10,1.03,40.473868833333334,-104.96948866666668,1520.9,0.020063333333333336,0.0,,
2020/02/01-20:55:16:70,10,1.03,40.473869,-104.96948849999998,1520.9,0.01594777777777778,0.0,,
2020/02/01-20:55:16:80,10,1.03,40.473868833333334,-104.96948849999998,1520.9,0.03961222222222222,0.0,,
2020/02/01-20:55:16:90,10,1.03,40.473868833333334,-104.96948849999998,1520.9,0.024693333333333334,0.0,,
2020/02/01-20:55:17:00,10,1.03,40.473868833333334,-104.96948833333333,1520.9,0.041155555555555556,0.0,,
2020/02/01-20:55:17:10,10,1.03,40.473868833333334,-104.96948833333333,1520.9,0.0658488888888889,0.0,,
2020/02/01-20:55:17:20,10,1.03,40.473868833333334,-104.96948833333333,1520.9,0.04218444444444445,0.0,,
2020/02/01-20:55:17:30,10,1.03,40.473868833333334,-104.96948833333333,1521.0,0.03292444444444445,0.0,,
2020/02/01-20:55:17:40,10,1.03,40.473868833333334,-104.96948816666666,1521.0,0.029837777777777783,0.0,,
2020/02/01-20:55:17:50,10,1.03,40.473868833333334,-104.96948816666666,1521.0,0.01852,0.0,,
2020/02/01-20:55:17:60,10,1.03,40.473868833333334,-104.96948783333333,1521.0,0.04938666666666667,0.0,,
2020/02/01-20:55:17:70,10,1.03,40.473868833333334,-104.96948783333333,1521.0,0.013375555555555555,0.0,,
2020/02/01-20:55:17:80,10,1.03,40.473868833333334,-104.96948783333333,1521.0,0.02520777777777778,0.0,,
2020/02/01-20:55:17:90,10,1.03,40.47386866666667,-104.96948766666668,1521.0,0.004115555555555556,0.0,,
2020/02/01-20:55:18:00,10,1.03,40.47386866666667,-104.96948766666668,1521.0,0.016976666666666668,0.0,,
2020/02/01-20:55:18:10,10,1.03,40.47386866666667,-104.96948766666668,1521.0,0.028294444444444445,0.0,,
2020/02/01-20:55:18:20,10,1.03,40.4738685,-104.96948766666668,1521.0,0.04527111111111111,0.0,,
2020/02/01-20:55:18:30,10,1.03,40.47386866666667,-104.96948750000001,1521.0,0.03035222222222222,0.0,,
2020/02/01-20:55:18:40,10,1.03,40.4738685,-104.96948750000001,1521.0,0.03601111111111112,0.0,,
2020/02/01-20:55:18:50,10,1.03,40.4738685,-104.96948750000001,1521.0,0.008745555555555557,0.0,,
2020/02/01-20:55:18:60,10,1.03,40.4738685,-104.96948733333332,1521.0,0.015433333333333334,0.0,,
2020/02/01-20:55:18:70,10,1.03,40.4738685,-104.96948733333332,1521.0,0.03138111111111111,0.0,,
2020/02/01-20:55:18:80,10,1.03,40.4738685,-104.96948716666665,1521.0,0.028294444444444445,0.0,,
2020/02/01-20:55:18:90,10,1.03,40.4738685,-104.96948716666665,1521.1,0.025722222222222226,0.0,,
2020/02/01-20:55:19:00,10,1.03,40.4738685,-104.96948683333333,1521.1,0.05813222222222223,0.0,,
2020/02/01-20:55:19:10,10,1.03,40.4738685,-104.96948683333333,1521.1,0.0797388888888889,0.0,,
2020/02/01-20:55:19:20,10,1.03,40.4738685,-104.96948666666667,1521.1,0.06276222222222222,0.0,,
2020/02/01-20:55:19:30,10,1.03,40.47386866666667,-104.9694865,1521.1,0.10546111111111112,0.0,,
2020/02/01-20:55:19:40,10,1.03,40.4738685,-104.9694865,1521.1,0.016976666666666668,0.0,,
2020/02/01-20:55:19:50,10,1.03,40.4738685,-104.96948633333335,1521.1,0.02315,0.0,RP,
2020/02/01-20:55:19:60,10,1.03,40.4738685,-104.96948633333335,1521.1,0.010288888888888889,0.0,,
2020/02/01-20:55:19:70,10,1.03,40.4738685,-104.96948616666666,1521.1,0.05710333333333334,0.0,,
2020/02/01-20:55:19:80,10,1.03,40.4738685,-104.96948616666666,1521.1,0.01594777777777778,0.0,,
2020/02/01-20:55:19:90,10,1.03,40.4738685,-104.96948599999999,1521.1,0.05813222222222223,0.0,,
2020/02/01-20:55:20:00,10,1.03,40.4738685,-104.96948599999999,1521.1,0.02160666666666667,0.0,,
2020/02/01-20:55:20:10,10,1.03,40.4738685,-104.96948583333332,1521.1,0.0015433333333333334,0.0,,
2020/02/01-20:55:20:20,10,1.03,40.4738685,-104.96948566666667,1521.1,0.04012666666666667,0.0,,
2020/02/01-20:55:20:30,10,1.03,40.4738685,-104.96948566666667,1521.1,0.055045555555555556,0.0,,
2020/02/01-20:55:20:40,10,1.03,40.4738685,-104.9694855,1521.1,0.07253666666666667,0.0,,
2020/02/01-20:55:20:50,10,1.03,40.4738685,-104.96948516666667,1521.1,0.08128222222222223,0.0,,
