GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/03/27-00:02:12:30,8,1.07,40.47396166666667,-104.96928166666666,1511.7,0.0797388888888889,0.0,Data Log,True
2020/03/27-00:02:12:40,8,1.07,40.47396166666667,-104.96928166666666,1511.7,0.0797388888888889,0.0,,
2020/03/27-00:02:12:50,8,1.07,40.47396166666667,-104.96928183333333,1511.7,0.021092222222222224,0.0,,
2020/03/27-00:02:12:60,8,1.07,40.47396166666667,-104.96928199999999,1511.7,0.07356555555555555,0.0,,
2020/03/27-00:02:12:70,7,1.07,40.47396166666667,-104.96928216666666,1511.7,0.08231111111111111,0.0,,
2020/03/27-00:02:12:80,7,1.15,40.47396166666667,-104.96928216666666,1511.7,0.05761777777777778,0.0,,
2020/03/27-00:02:12:90,7,1.15,40.47396166666667,-104.96928216666666,1511.6,0.041670000000000006,0.0,,
2020/03/27-00:02:13:00,7,1.15,40.4739615,-104.96928233333334,1511.6,0.017491111111111114,0.0,,
2020/03/27-00:02:13:10,7,1.15,40.4739615,-104.96928233333334,1511.7,0.027265555555555557,0.0,,
2020/03/27-00:02:13:20,7,1.15,40.473961333333335,-104.96928233333334,1511.7,0.0015433333333333334,0.0,,
2020/03/27-00:02:13:30,7,1.15,40.47396116666666,-104.96928233333334,1511.7,0.03035222222222222,0.0,,
2020/03/27-00:02:13:40,7,1.15,40.473961333333335,-104.96928233333334,1511.7,0.01954888888888889,0.0,,
2020/03/27-00:02:13:50,7,1.15,40.47396116666666,-104.9692825,1511.7,0.04887222222222223,0.0,,
2020/03/27-00:02:13:60,7,1.15,40.473961333333335,-104.96928266666667,1511.6,0.05864666666666667,0.0,,
2020/03/27-00:02:13:70,7,1.15,40.4739615,-104.96928266666667,1511.6,0.05093,0.0,,
2020/03/27-00:02:13:80,7,1.15,40.4739615,-104.96928266666667,1511.6,0.04527111111111111,0.0,,
2020/03/27-00:02:13:90,7,1.15,40.473961333333335,-104.96928266666667,1511.6,0.025722222222222226,0.0,,
2020/03/27-00:02:14:00,7,1.15,40.47396116666666,-104.96928266666667,1511.7,0.007716666666666667,0.0,,
2020/03/27-00:02:14:10,7,1.15,40.47396116666666,-104.9692825,1511.7,0.05350222222222222,0.0,,
2020/03/27-00:02:14:20,7,1.15,40.473961,-104.9692825,1511.7,0.06636333333333334,0.0,,
2020/03/27-00:02:14:30,7,1.15,40.47396083333333,-104.9692825,1511.7,0.051958888888888895,0.0,,
2020/03/27-00:02:14:40,7,1.15,40.47396083333333,-104.96928266666667,1511.7,0.02520777777777778,0.0,,
