GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/04/03-16:09:30:30,8,1.34,40.473927499999995,-104.969265,1526.0,0.0715077777777778,0.0,Data Log,True
2020/04/03-16:09:30:40,8,1.34,40.473927499999995,-104.969265,1526.0,0.0715077777777778,0.0,,
2020/04/03-16:09:30:50,8,1.34,40.473927333333336,-104.96926483333333,1526.0,0.04732888888888889,0.0,,
2020/04/03-16:09:30:60,8,1.34,40.473927499999995,-104.969265,1526.0,0.06533444444444444,0.0,,
2020/04/03-16:09:30:70,8,1.34,40.473927499999995,-104.96926483333333,1526.0,0.09620111111111111,0.0,,
2020/04/03-16:09:30:80,8,1.34,40.473927333333336,-104.96926450000001,1526.1,0.09620111111111111,0.0,,
2020/04/03-16:09:30:90,8,1.34,40.473927333333336,-104.96926383333333,1526.2,0.12449555555555557,0.0,,
2020/04/03-16:09:31:00,8,1.34,40.473927333333336,-104.96926383333333,1526.2,0.07613777777777778,0.0,,
2020/04/03-16:09:31:10,8,1.34,40.473927333333336,-104.9692635,1526.3,0.1399288888888889,0.0,,
2020/04/03-16:09:31:20,8,1.34,40.473927333333336,-104.96926383333333,1526.3,0.03858333333333334,0.0,,
2020/04/03-16:09:31:30,8,1.34,40.473927333333336,-104.9692635,1526.3,0.06945000000000001,0.0,,
2020/04/03-16:09:31:40,8,1.34,40.473927333333336,-104.96926333333334,1526.4,0.08745555555555556,0.0,,
2020/04/03-16:09:31:50,8,1.34,40.47392716666666,-104.96926299999998,1526.4,0.15896333333333335,0.0,,
2020/04/03-16:09:31:60,8,1.34,40.47392716666666,-104.9692635,1526.4,0.04372777777777778,0.0,,
2020/04/03-16:09:31:70,8,1.34,40.473927499999995,-104.969264,1526.3,0.05607444444444445,0.0,,
2020/04/03-16:09:31:80,8,1.34,40.473927333333336,-104.96926433333334,1526.3,0.07510888888888889,0.0,,
2020/04/03-16:09:31:90,8,1.34,40.473927499999995,-104.96926483333333,1526.1,0.03189555555555556,0.0,,
2020/04/03-16:09:32:00,8,1.34,40.473927333333336,-104.96926450000001,1526.2,0.02520777777777778,0.0,,
2020/04/03-16:09:32:10,8,1.34,40.473927499999995,-104.96926450000001,1526.2,0.024693333333333334,0.0,,
2020/04/03-16:09:32:20,8,1.34,40.473927333333336,-104.96926433333334,1526.2,0.041155555555555556,0.0,,
2020/04/03-16:09:32:30,8,1.34,40.473927499999995,-104.969265,1526.1,0.03138111111111111,0.0,,
2020/04/03-16:09:32:40,8,1.34,40.473927499999995,-104.969265,1526.1,0.044242222222222224,0.0,,
2020/04/03-16:09:32:50,8,1.34,40.47392766666667,-104.96926533333333,1526.0,0.05607444444444445,0.0,,
2020/04/03-16:09:32:60,8,1.34,40.47392766666667,-104.96926533333333,1526.1,0.11472111111111112,0.0,,
2020/04/03-16:09:32:70,7,1.34,40.47392766666667,-104.96926550000002,1526.1,0.0715077777777778,0.0,,
2020/04/03-16:09:32:80,7,1.34,40.47392766666667,-104.96926533333333,1526.1,0.05247333333333334,0.0,,
2020/04/03-16:09:32:90,7,1.34,40.47392766666667,-104.96926550000002,1526.1,0.08385444444444445,0.0,,
2020/04/03-16:09:33:00,7,1.34,40.47392766666667,-104.96926533333333,1526.1,0.03961222222222222,0.0,,
2020/04/03-16:09:33:10,7,1.34,40.473927499999995,-104.96926516666666,1526.1,0.08694111111111112,0.0,,
2020/04/03-16:09:33:20,7,1.34,40.47392766666667,-104.96926516666666,1526.1,0.03189555555555556,0.0,,
2020/04/03-16:09:33:30,7,1.34,40.473927499999995,-104.969265,1526.1,0.012861111111111113,0.0,,
2020/04/03-16:09:33:40,7,1.34,40.47392766666667,-104.96926483333333,1526.1,0.04218444444444445,0.0,,
2020/04/03-16:09:33:50,7,1.34,40.47392766666667,-104.96926483333333,1526.1,0.02520777777777778,0.0,,
2020/04/03-16:09:33:60,7,1.34,40.473927499999995,-104.969265,1526.1,0.05093,0.0,,
2020/04/03-16:09:33:70,7,1.34,40.473927499999995,-104.969265,1526.0,0.005658888888888889,0.0,,
2020/04/03-16:09:33:80,7,1.34,40.473927333333336,-104.96926466666667,1526.1,0.061733333333333335,0.0,,
2020/04/03-16:09:33:90,7,1.34,40.473927333333336,-104.96926466666667,1526.1,0.020577777777777778,0.0,,
2020/04/03-16:09:34:00,8,1.34,40.47392716666666,-104.96926450000001,1526.1,0.10083111111111112,0.0,,
2020/04/03-16:09:34:10,8,1.14,40.47392716666666,-104.96926416666665,1526.1,0.04218444444444445,0.0,,
2020/04/03-16:09:34:20,8,1.14,40.47392716666666,-104.969264,1526.2,0.02623666666666667,0.0,,
2020/04/03-16:09:34:30,8,1.14,40.47392716666666,-104.969264,1526.2,0.04887222222222223,0.0,,
2020/04/03-16:09:34:40,8,1.14,40.47392716666666,-104.969264,1526.2,0.05350222222222222,0.0,,
2020/04/03-16:09:34:50,8,1.14,40.473927333333336,-104.969264,1526.2,0.04681444444444444,0.0,,
2020/04/03-16:09:34:60,8,1.14,40.47392716666666,-104.96926383333333,1526.2,0.006173333333333334,0.0,,
2020/04/03-16:09:34:70,8,1.14,40.473927333333336,-104.969264,1526.2,0.03601111111111112,0.0,,
2020/04/03-16:09:34:80,8,1.14,40.47392716666666,-104.969264,1526.1,0.05864666666666667,0.0,,
2020/04/03-16:09:34:90,8,1.14,40.473927,-104.96926383333333,1526.1,0.12501,0.0,,
2020/04/03-16:09:35:00,8,1.14,40.473927,-104.96926333333334,1526.2,0.07665222222222222,0.0,,
2020/04/03-16:09:35:10,8,1.14,40.47392716666666,-104.9692635,1526.2,0.03858333333333334,0.0,,
2020/04/03-16:09:35:20,8,1.14,40.47392716666666,-104.96926383333333,1526.2,0.06276222222222222,0.0,,
2020/04/03-16:09:35:30,8,1.34,40.47392716666666,-104.96926366666666,1526.2,0.04012666666666667,0.0,,
2020/04/03-16:09:35:40,8,1.34,40.47392716666666,-104.9692635,1526.2,0.02675111111111111,0.0,,
2020/04/03-16:09:35:50,8,1.34,40.47392683333333,-104.96926333333334,1526.2,0.04527111111111111,0.0,,
2020/04/03-16:09:35:60,8,1.34,40.473927,-104.96926316666668,1526.3,0.01852,0.0,,
2020/04/03-16:09:35:70,8,1.34,40.473927,-104.96926299999998,1526.3,0.051958888888888895,0.0,,
