GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/02/01-20:19:03:70,11,0.95,40.473842833333336,-104.96939733333332,1514.8,0.055045555555555556,0.0,Data Log,True
2020/02/01-20:19:03:80,11,0.95,40.473842833333336,-104.96939733333332,1514.8,0.055045555555555556,0.0,,
2020/02/01-20:19:03:90,11,0.95,40.473843,-104.96939733333332,1514.8,0.022121111111111112,0.0,,
2020/02/01-20:19:04:00,11,0.95,40.47384316666667,-104.96939716666665,1514.8,0.016976666666666668,0.0,,
2020/02/01-20:19:04:10,11,0.95,40.47384316666667,-104.96939716666665,1514.8,0.007202222222222223,0.0,,
2020/02/01-20:19:04:20,11,0.95,40.47384316666667,-104.96939716666665,1514.8,0.03858333333333334,0.0,,
2020/02/01-20:19:04:30,11,0.95,40.473843333333335,-104.969397,1514.8,0.006173333333333334,0.0,,
2020/02/01-20:19:04:40,11,0.95,40.473843333333335,-104.96939716666665,1514.8,0.06070444444444444,0.0,,
2020/02/01-20:19:04:50,11,0.95,40.4738435,-104.969397,1514.8,0.03189555555555556,0.0,,
2020/02/01-20:19:04:60,11,0.95,40.47384366666667,-104.969397,1514.8,0.014918888888888891,0.0,,
2020/02/01-20:19:04:70,11,0.95,40.47384366666667,-104.969397,1514.8,0.04218444444444445,0.0,,
2020/02/01-20:19:04:80,11,0.95,40.47384366666667,-104.969397,1514.8,0.05607444444444445,0.0,,
2020/02/01-20:19:04:90,11,0.95,40.47384383333333,-104.96939683333333,1514.8,0.008231111111111113,0.0,,
2020/02/01-20:19:05:00,11,0.95,40.47384383333333,-104.96939683333333,1514.8,0.06121888888888889,0.0,,
2020/02/01-20:19:05:10,11,0.95,40.473844,-104.96939683333333,1514.8,0.08951333333333333,0.0,,
2020/02/01-20:19:05:20,11,0.95,40.473844,-104.96939683333333,1514.8,0.047843333333333335,0.0,,
2020/02/01-20:19:05:30,11,0.95,40.473844166666666,-104.96939666666667,1514.8,0.015433333333333334,0.0,,
2020/02/01-20:19:05:40,11,0.95,40.473844166666666,-104.96939683333333,1514.8,0.06070444444444444,0.0,,
2020/02/01-20:19:05:50,11,0.95,40.47384433333333,-104.96939683333333,1514.8,0.04732888888888889,0.0,,
2020/02/01-20:19:05:60,11,0.95,40.47384433333333,-104.96939666666667,1514.8,0.04732888888888889,0.0,,
2020/02/01-20:19:05:70,11,0.95,40.473844666666665,-104.96939666666667,1514.8,0.022121111111111112,0.0,,
2020/02/01-20:19:05:80,11,0.95,40.473844500000006,-104.96939666666667,1514.8,0.009774444444444445,0.0,,
2020/02/01-20:19:05:90,11,1.23,40.473844666666665,-104.96939683333333,1514.8,0.02880888888888889,0.0,RP,
2020/02/01-20:19:06:00,11,1.23,40.473844500000006,-104.969397,1514.8,0.06019000000000001,0.0,,
2020/02/01-20:19:06:10,11,1.23,40.473844500000006,-104.969397,1514.8,0.04527111111111111,0.0,,
2020/02/01-20:19:06:20,11,1.23,40.473844500000006,-104.969397,1514.8,0.05350222222222222,0.0,,
2020/02/01-20:19:06:30,11,0.95,40.473844666666665,-104.969397,1514.8,0.020577777777777778,0.0,,
2020/02/01-20:19:06:40,11,0.95,40.47384483333334,-104.969397,1514.8,0.04887222222222223,0.0,,
2020/02/01-20:19:06:50,11,0.95,40.47384483333334,-104.969397,1514.8,0.020063333333333336,0.0,,
2020/02/01-20:19:06:60,11,1.23,40.473844666666665,-104.96939716666665,1514.8,0.016976666666666668,0.0,,
2020/02/01-20:19:06:70,11,1.23,40.473844666666665,-104.96939733333332,1514.8,0.04938666666666667,0.0,,
2020/02/01-20:19:06:80,11,1.23,40.473844666666665,-104.96939733333332,1514.9,0.0463,0.0,,
2020/02/01-20:19:06:90,11,1.23,40.473844666666665,-104.96939750000001,1514.9,0.033953333333333335,0.0,,
2020/02/01-20:19:07:00,11,1.23,40.473844666666665,-104.96939750000001,1514.9,0.03241,0.0,,
2020/02/01-20:19:07:10,11,1.23,40.473844500000006,-104.96939766666668,1514.9,0.048357777777777784,0.0,,
2020/02/01-20:19:07:20,11,1.23,40.47384483333334,-104.96939750000001,1514.9,0.02675111111111111,0.0,,
2020/02/01-20:19:07:30,11,0.95,40.47384483333334,-104.96939750000001,1514.9,0.07768111111111112,0.0,,
2020/02/01-20:19:07:40,11,0.95,40.47384483333334,-104.96939750000001,1514.9,0.01852,0.0,,
2020/02/01-20:19:07:50,11,1.23,40.47384483333334,-104.96939783333333,1514.9,0.03343888888888889,0.0,,
2020/02/01-20:19:07:60,11,1.75,40.473845,-104.96939783333333,1514.9,0.05761777777777778,0.0,,
2020/02/01-20:19:07:70,11,1.75,40.473845,-104.96939783333333,1515.0,0.03035222222222222,0.0,,
2020/02/01-20:19:07:80,11,0.95,40.47384516666667,-104.96939766666668,1514.9,0.04321333333333334,0.0,,
2020/02/01-20:19:07:90,11,1.05,40.47384516666667,-104.96939766666668,1514.9,0.04732888888888889,0.0,,
2020/02/01-20:19:08:00,11,1.75,40.47384516666667,-104.96939783333333,1515.0,0.04938666666666667,0.0,,
2020/02/01-20:19:08:10,11,0.95,40.47384516666667,-104.969398,1515.0,0.04681444444444444,0.0,,
2020/02/01-20:19:08:20,11,1.23,40.47384533333333,-104.96939783333333,1515.0,0.03704,0.0,,
2020/02/01-20:19:08:30,11,0.95,40.47384533333333,-104.96939783333333,1515.0,0.07716666666666668,0.0,,
2020/02/01-20:19:08:40,11,1.05,40.47384566666666,-104.96939766666668,1515.0,0.02160666666666667,0.0,,
2020/02/01-20:19:08:50,11,1.05,40.47384566666666,-104.96939766666668,1515.0,0.041155555555555556,0.0,,
2020/02/01-20:19:08:60,11,0.95,40.47384566666666,-104.96939783333333,1515.0,0.03601111111111112,0.0,,
2020/02/01-20:19:08:70,11,1.23,40.473845833333336,-104.96939783333333,1515.0,0.011832222222222223,0.0,,
2020/02/01-20:19:08:80,11,1.23,40.473845833333336,-104.96939783333333,1515.0,0.029323333333333337,0.0,,
2020/02/01-20:19:08:90,11,0.95,40.473845833333336,-104.96939783333333,1515.0,0.03806888888888889,0.0,LC,1
2020/02/01-20:19:09:00,11,0.95,40.473845833333336,-104.96939783333333,1515.0,0.04475666666666667,0.0,,
2020/02/01-20:19:09:10,11,1.23,40.473845833333336,-104.969398,1515.0,0.03498222222222223,0.0,,
2020/02/01-20:19:09:20,11,1.23,40.473846,-104.96939783333333,1515.0,0.041155555555555556,0.0,,
2020/02/01-20:19:09:30,11,0.95,40.47384616666667,-104.96939783333333,1515.0,0.021092222222222224,0.0,,
2020/02/01-20:19:09:40,11,0.95,40.47384616666667,-104.96939783333333,1515.0,0.03035222222222222,0.0,,
2020/02/01-20:19:09:50,11,1.23,40.47384616666667,-104.96939783333333,1515.0,0.03961222222222222,0.0,,
2020/02/01-20:19:09:60,11,0.95,40.473846333333334,-104.96939766666668,1515.0,0.0463,0.0,,
2020/02/01-20:19:09:70,11,0.95,40.473846333333334,-104.96939766666668,1515.0,0.029323333333333337,0.0,,
2020/02/01-20:19:09:80,11,0.95,40.4738465,-104.96939766666668,1515.0,0.012861111111111113,0.0,,
2020/02/01-20:19:09:90,11,0.95,40.47384666666667,-104.96939750000001,1515.0,0.023664444444444446,0.0,,
2020/02/01-20:19:10:00,11,0.95,40.47384666666667,-104.96939766666668,1515.1,0.05813222222222223,0.0,,
2020/02/01-20:19:10:10,11,0.95,40.47384666666667,-104.96939750000001,1515.1,0.07613777777777778,0.0,,
2020/02/01-20:19:10:20,11,0.95,40.47384683333333,-104.96939733333332,1515.0,0.010288888888888889,0.0,,
2020/02/01-20:19:10:30,11,0.95,40.47384683333333,-104.96939733333332,1515.1,0.04527111111111111,0.0,,
2020/02/01-20:19:10:40,11,0.95,40.473847,-104.96939716666665,1515.0,0.02623666666666667,0.0,,
2020/02/01-20:19:10:50,11,0.95,40.473847166666665,-104.96939716666665,1515.1,0.012861111111111113,0.0,,
2020/02/01-20:19:10:60,11,0.95,40.47384733333333,-104.96939716666665,1515.0,0.06019000000000001,0.0,,
2020/02/01-20:19:10:70,11,0.95,40.473847500000005,-104.969397,1515.1,0.024178888888888892,0.0,,
2020/02/01-20:19:10:80,11,0.95,40.473847500000005,-104.969397,1515.0,0.007716666666666667,0.0,,
2020/02/01-20:19:10:90,11,0.95,40.473847500000005,-104.969397,1515.1,0.013375555555555555,0.0,,
2020/02/01-20:19:11:00,11,0.95,40.47384783333334,-104.969397,1515.1,0.02623666666666667,0.0,LC,2
2020/02/01-20:19:11:10,11,0.95,40.47384783333334,-104.969397,1515.1,0.04218444444444445,0.0,,
2020/02/01-20:19:11:20,11,0.95,40.473848,-104.969397,1515.1,0.024178888888888892,0.0,,
2020/02/01-20:19:11:30,11,0.95,40.47384816666667,-104.96939683333333,1515.1,0.027265555555555557,0.0,,
2020/02/01-20:19:11:40,11,0.95,40.47384816666667,-104.96939683333333,1515.1,0.044242222222222224,0.0,,
2020/02/01-20:19:11:50,11,0.95,40.47384833333333,-104.969397,1515.1,0.08231111111111111,0.0,,
2020/02/01-20:19:11:60,11,0.95,40.47384833333333,-104.96939683333333,1515.1,0.04372777777777778,0.0,,
2020/02/01-20:19:11:70,11,0.95,40.47384833333333,-104.96939683333333,1515.1,0.016976666666666668,0.0,,
2020/02/01-20:19:11:80,11,0.95,40.4738485,-104.96939666666667,1515.1,0.012346666666666667,0.0,,
2020/02/01-20:19:11:90,11,0.95,40.4738485,-104.96939666666667,1515.1,0.03292444444444445,0.0,,
2020/02/01-20:19:12:00,11,0.95,40.47384866666666,-104.96939666666667,1515.1,0.02520777777777778,0.0,,
2020/02/01-20:19:12:10,11,0.95,40.47384866666666,-104.96939666666667,1515.1,0.023664444444444446,0.0,,
2020/02/01-20:19:12:20,11,0.95,40.473848833333335,-104.9693965,1515.1,0.014404444444444445,0.0,,
2020/02/01-20:19:12:30,11,0.95,40.473848833333335,-104.96939633333335,1515.1,0.014918888888888891,0.0,,
2020/02/01-20:19:12:40,12,0.95,40.473849,-104.9693965,1515.1,0.015433333333333334,0.0,,
2020/02/01-20:19:12:50,12,0.95,40.47384916666667,-104.96939633333335,1515.1,0.013375555555555555,0.0,,
